County,Tract,whNum90,whPer90,blNum90,blPer90,aiNum90,aiPer90,asNum90,asPer90,otNum90,otPer90,hiNum90,hiPer90,0-4Num90,0-4Per90,5-17Num90,5-17Per90,0-17Num90,0-17Per90,18-34Num90,18-34Per90,35-59Num90,35-59Per90,60+Num90,60+Per90,60-64Num90,60-64Per90,65+Num90,65+Per90,acRatio90,whNum00,whPer00,blNum00,blPer00,aiNum00,aiPer00,asNum00,asPer00,otNum00,otPer00,hiNum00,hiPer00,0-4Num00,0-4Per00,5-17Num00,5-17Per00,0-17Num00,0-17Per00,18-34Num00,18-34Per00,35-59Num00,35-59Per00,60+Num00,60+Per00,60-64Num00,60-64Per00,65+Num00,65+Per00,acRatio00,whNum10,whPer10,blNum10,blPer10,aiNum10,aiPer10,asNum10,asPer10,otNum10,otPer10,hiNum10,hiPer10,0-4Num10,0-4Per10,5-17Num10,5-17Per10,0-17Num10,0-17Per10,18-34Num10,18-34Per10,35-59Num10,35-59Per10,60+Num10,60+Per10,60-64Num10,60-64Per10,65+Num10,65+Per10,acRatio10,"Population/square mile, 1990","Population/square mile, 2000","Population/square mile, 2010",area90,area00
Cuyahoga,1011.01,1521,79.8,195,10.23,19,1,105,5.51,66,3.46,141,7.4,165,8.66,298,15.63,463,24.29,632,33.16,503,26.39,308,16.16,71,3.73,237,12.43,3.12,1349,60.96,615,27.79,7,0.32,134,6.06,108,4.88,255,11.52,157,7.09,280,12.65,437,19.75,759,34.3,701,31.68,316,14.28,85,3.84,231,10.44,4.06,821,46.05,788,44.2,5,0.28,35,1.96,134,7.52,179,10.04,108,6.06,226,12.68,334,18.73,413,23.16,729,40.89,307,17.22,108,6.06,199,11.16,4.34,16058,18644.46,15021.72,0.127475402,0.118694732
Cuyahoga,1011.02,4492,91.79,208,4.25,18,0.37,105,2.15,71,1.45,165,3.37,297,6.07,398,8.13,695,14.2,2034,41.56,1364,27.87,801,16.37,177,3.62,624,12.75,6.04,3866,86.74,390,8.75,29,0.65,98,2.2,74,1.66,222,4.98,200,4.49,325,7.29,525,11.78,1756,39.4,1574,35.32,602,13.51,126,2.83,476,10.68,7.49,3172,75.15,677,16.04,16,0.38,98,2.32,258,6.11,350,8.29,175,4.15,357,8.46,532,12.6,1402,33.21,1665,39.45,622,14.74,210,4.98,412,9.76,6.93,9444.54,8601.21,8145.77,0.535653404,0.518182993
Cuyahoga,1012,2391,74.3,298,9.26,37,1.15,202,6.28,290,9.01,376,11.68,261,8.11,516,16.03,777,24.15,845,26.26,828,25.73,768,23.87,130,4.04,638,19.83,3.14,2148,71.72,561,18.73,25,0.83,40,1.34,221,7.38,545,18.2,220,7.35,440,14.69,660,22.04,686,22.9,953,31.82,696,23.24,117,3.91,579,19.33,3.54,1522,59.41,648,25.29,8,0.31,35,1.37,349,13.62,596,23.26,180,7.03,313,12.22,493,19.24,650,25.37,843,32.9,576,22.48,153,5.97,423,16.51,4.2,6699.45,6235.19,5333.74,0.536461948,0.480337938
Cuyahoga,1013,1758,85.3,214,10.38,8,0.39,24,1.16,57,2.77,112,5.43,147,7.13,221,10.72,368,17.86,719,34.89,445,21.59,529,25.67,53,2.57,476,23.1,4.6,1416,74.49,393,20.67,15,0.79,10,0.53,67,3.52,151,7.94,123,6.47,245,12.89,368,19.36,556,29.25,503,26.46,474,24.93,70,3.68,404,21.25,4.17,948,58.2,550,33.76,12,0.74,18,1.1,101,6.2,157,9.64,101,6.2,173,10.62,274,16.82,467,28.67,548,33.64,340,20.87,57,3.5,283,17.37,4.95,8424.94,7770.89,6659.01,0.257924686,0.244630822
Cuyahoga,1014,2114,93.87,32,1.42,4,0.18,20,0.89,82,3.64,131,5.82,209,9.28,403,17.9,612,27.19,718,31.88,570,25.3,352,15.64,101,4.49,251,11.15,2.68,1767,78.05,241,10.64,21,0.93,90,3.98,145,6.4,311,13.74,202,8.92,452,19.96,654,28.89,616,27.21,760,33.57,234,10.34,59,2.61,175,7.73,2.46,1165,53.08,547,24.92,17,0.77,65,2.96,401,18.27,526,23.96,211,9.61,426,19.41,637,29.02,624,28.43,721,32.85,213,9.7,80,3.64,133,6.06,2.45,4613.26,4638.08,4496.72,0.516554454,0.488158049
Cuyahoga,1015,2532,86.74,113,3.87,18,0.62,76,2.6,180,6.17,242,8.29,272,9.33,562,19.25,834,28.58,922,31.59,734,25.14,429,14.68,94,3.22,335,11.46,2.5,2046,69.85,449,15.33,15,0.51,202,6.9,217,7.41,433,14.78,258,8.81,601,20.52,859,29.33,831,28.37,918,31.34,321,10.96,82,2.8,239,8.16,2.41,1322,52.99,660,26.45,8,0.3,144,5.77,361,14.49,444,17.8,215,8.63,494,19.8,709,28.42,648,25.97,871,34.89,267,10.71,102,4.09,165,6.62,2.52,12049.88,12091.5,10299.94,0.262326264,0.242243076
Cuyahoga,1016,2290,86.91,98,3.72,24,0.91,92,3.49,131,4.97,268,10.17,272,10.3,571,21.66,842,31.97,788,29.9,689,26.13,316,12.01,83,3.15,233,8.86,2.13,1953,72.01,380,14.01,6,0.22,110,4.06,263,9.7,462,17.04,291,10.73,658,24.26,949,34.99,715,26.36,801,29.54,247,9.11,68,2.51,179,6.6,1.86,1067,49.16,630,29.04,21,0.99,69,3.18,383,17.63,519,23.91,183,8.42,503,23.18,686,31.61,547,25.21,665,30.67,272,12.53,108,4.98,164,7.55,2.16,15349.31,15796.69,12639.58,0.189129023,0.171734104
Cuyahoga,1017,2442,79.6,212,6.91,58,1.89,120,3.91,236,7.69,372,12.13,295,9.62,720,23.47,1015,33.08,904,29.47,785,25.59,364,11.86,105,3.42,259,8.44,2.02,1782,62.39,570,19.96,14,0.49,146,5.11,344,12.04,585,20.48,259,9.07,722,25.28,981,34.35,730,25.56,879,30.78,266,9.32,73,2.56,193,6.76,1.91,1152,41.86,1049,38.12,24,0.87,64,2.33,463,16.82,693,25.18,227,8.25,653,23.73,880,31.98,769,27.94,877,31.87,226,8.21,92,3.34,134,4.87,2.13,10413.17,9693.62,9340.63,0.330350892,0.2946269
Cuyahoga,1018,2622,81.63,209,6.51,17,0.53,100,3.11,264,8.22,421,13.11,323,10.06,728,22.67,1051,32.72,929,28.92,818,25.47,414,12.89,126,3.92,288,8.97,2.06,2249,67.66,615,18.5,27,0.81,41,1.23,392,11.79,704,21.18,309,9.3,751,22.59,1060,31.89,792,23.83,972,29.24,500,15.04,110,3.31,390,11.73,2.14,1481,51.71,915,31.95,10,0.35,19,0.66,439,15.33,633,22.1,204,7.12,578,20.18,782,27.3,642,22.42,992,34.64,448,15.64,123,4.29,325,11.35,2.66,12480.07,12915.24,11127.93,0.291104136,0.257370351
Cuyahoga,1019,1662,81.31,73,3.57,18,0.88,88,4.31,203,9.93,356,17.42,240,11.74,440,21.53,680,33.27,586,28.67,529,25.88,249,12.18,75,3.67,174,8.51,2.01,1319,70.27,302,16.09,15,0.8,45,2.4,196,10.44,479,25.52,179,9.54,453,24.13,632,33.67,510,27.17,541,28.82,194,10.33,62,3.3,132,7.03,1.97,789,53.93,394,26.93,13,0.89,37,2.53,230,15.72,360,24.61,140,9.57,312,21.33,452,30.9,361,24.68,477,32.6,173,11.82,58,3.96,115,7.86,2.24,13152.93,12078.3,9414.25,0.182468849,0.155402637
Cuyahoga,1021.01,3133,93.02,66,1.96,5,0.15,19,0.56,145,4.31,246,7.3,266,7.9,487,14.46,753,22.36,1142,33.91,858,25.48,615,18.26,149,4.42,466,13.84,3.47,2683,79.73,334,9.93,24,0.71,79,2.35,245,7.28,454,13.49,291,8.65,577,17.15,868,25.79,941,27.96,1146,34.06,410,12.18,108,3.21,302,8.97,2.88,1903,60.37,677,21.48,21,0.67,57,1.81,494,15.67,712,22.59,237,7.52,591,18.75,828,26.27,783,24.84,1154,36.61,387,12.28,163,5.17,224,7.11,2.81,12892.33,12880.85,12065.51,0.280321711,0.261240598
Cuyahoga,1021.02,2457,92.99,80,3.03,15,0.57,37,1.4,53,2.01,93,3.53,197,7.46,407,15.42,604,22.88,859,32.5,694,26.25,485,18.37,123,4.66,362,13.71,3.37,2014,76.96,316,12.07,17,0.65,100,3.82,170,6.5,301,11.5,211,8.06,442,16.89,653,24.95,672,25.68,894,34.16,398,15.21,94,3.59,304,11.62,3.01,1574,62.66,416,16.56,9,0.36,109,4.34,404,16.08,628,25,196,7.8,412,16.4,608,24.2,598,23.81,956,38.06,350,13.93,111,4.42,239,9.51,3.13,8334.87,8256.57,7925.3,0.328139491,0.316981549
Cuyahoga,1022,2689,92,48,1.64,11,0.38,57,1.95,118,4.03,181,6.19,235,8.05,462,15.82,698,23.87,890,30.44,788,26.97,547,18.72,141,4.82,406,13.9,3.19,2248,79.38,214,7.56,10,0.35,119,4.2,241,8.51,421,14.87,200,7.06,481,16.98,681,24.05,711,25.11,1000,35.31,440,15.54,116,4.1,324,11.44,3.16,1658,60.29,474,17.24,14,0.51,125,4.55,479,17.42,625,22.73,190,6.91,511,18.58,701,25.49,665,24.18,995,36.18,389,14.15,132,4.8,257,9.35,2.92,8373.99,8113.99,7879.05,0.370671568,0.348937603
Cuyahoga,1023,2205,90,38,1.55,16,0.65,57,2.33,134,5.47,231,9.43,220,8.98,469,19.14,689,28.12,775,31.63,622,25.39,364,14.86,99,4.04,265,10.82,2.56,1910,77.11,225,9.08,25,1.01,49,1.98,268,10.82,510,20.59,248,10.01,569,22.97,817,32.98,653,26.36,737,29.75,270,10.9,56,2.26,214,8.64,2.03,1255,54.97,506,22.16,17,0.74,52,2.28,453,19.84,729,31.93,206,9.02,559,24.49,765,33.51,559,24.49,756,33.11,203,8.89,56,2.45,147,6.44,1.98,13584.07,13733.77,12658.13,0.197363529,0.180358317
Cuyahoga,1024.01,2186,91.93,26,1.09,22,0.92,41,1.72,103,4.33,221,9.29,247,10.37,501,21.04,747,31.41,717,30.14,613,25.78,302,12.67,79,3.32,223,9.35,2.18,1739,73.47,302,12.76,16,0.68,48,2.03,262,11.07,447,18.88,223,9.42,603,25.48,826,34.9,607,25.64,685,28.94,249,10.52,62,2.62,187,7.9,1.87,1198,56.67,445,21.05,14,0.66,29,1.37,428,20.25,673,31.84,186,8.8,499,23.6,685,32.4,518,24.5,684,32.36,227,10.74,81,3.83,146,6.91,2.09,11902.38,11845.14,10579.06,0.218359689,0.199960008
